District,Jan-17,Jan-18,Jan-19,Jan-20,Jan-21,Jan-22,Jan-23,Jan-24,Jan-25,Jan-26,Jan-27,Jan-28,Jan-29,Jan-30,Jan-31,Feb-01,Feb-02,Feb-03,Feb-04,Feb-05,Feb-06,Feb-07,Feb-08,Feb-09,Feb-10,Feb-11,Feb-12,Feb-13,Feb-14,Feb-15,Feb-16,Feb-17,Feb-18,Feb-19,Feb-20,Feb-21,Feb-22,Feb-23,Feb-24,Feb-25,Feb-26,Feb-27,Feb-28,Mar-01,Mar-02,Mar-03,Mar-04,Mar-05,Mar-06,Mar-07,Mar-08,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Mar-22,Mar-23,Mar-24,Mar-25,Mar-26,Mar-27,Mar-28,Mar-29,Mar-30,Mar-31,Apr-01,Apr-02,Apr-03,Apr-04,Apr-05,Apr-06,Apr-07,Apr-08,Apr-09,Apr-10,Apr-11,Apr-12,Apr-13,Apr-14,Apr-15,Apr-16,Apr-17,Apr-18,Apr-19,Apr-20,Apr-21,Apr-22
Bagalkot,334,112,738,689,251,1120,0,0,615,0,343,226,512,365,0,0,0,0,225,627,684,0,595,279,234,469,320,143,0,0,48,112,557,102,393,376,446,570,801,666,934,0,0,0,399,232,232,150,270,0,376,337,441,30,630,38,0,1904,4987,4864,6950,9329,8011,7551,3869,8059,7566,6392,8597,2380,2952,1746,2222,3767,3966,9168,9555,6915,4198,7413,2707,11902,7108,5331,5069,1862,1803,607,2383,1099,1335,4774,1351,1168,3680,1653
Ballari,684,1333,161,2048,114,1474,0,387,1696,52,435,102,442,0,0,0,0,0,238,664,1429,0,896,1178,982,1323,520,680,0,0,434,176,129,258,145,0,88,1230,748,505,155,0,0,0,668,437,1450,896,1177,0,738,1443,964,711,1492,4450,0,8618,8709,16163,8906,9109,8478,2621,4442,6377,3516,1985,4624,5482,2646,4849,6529,3359,5369,13492,17483,7884,6614,8917,4987,21885,5834,17271,9896,3949,2033,1720,2568,3182,6637,18481,1684,5776,3766,3033
Belgaum,1335,30,438,5907,2096,3787,0,0,1826,0,1674,1052,915,432,0,0,140,270,573,1530,1903,0,1338,1859,1801,4108,804,28,0,0,243,66,1444,1619,663,0,95,800,1584,761,848,0,0,0,1186,759,561,1729,922,243,2286,967,2621,0,2514,1530,0,4367,4861,6500,6843,7733,6557,5560,8535,13525,10655,11059,13856,6944,4203,4414,10177,13591,32,8466,8375,2712,925,2866,18531,25448,18479,32476,13167,8624,10489,587,4111,987,3716,23156,6878,17611,13894,13597
Bengaluru-Rural,315,69,916,549,285,998,0,0,501,43,443,83,414,69,0,0,0,0,111,575,43,0,196,145,144,627,405,0,0,0,1017,527,250,499,422,0,342,253,275,250,113,0,0,0,548,523,550,726,997,0,1151,850,1272,35,1505,542,77,2098,1334,2833,2120,2118,2388,642,2145,2097,1879,1969,2217,1847,1149,2414,2204,1887,2477,1905,1675,1527,842,1642,2071,5023,1855,3848,3832,2616,1379,267,1326,2125,2846,6037,1140,2437,2108,1920
Bengaluru-Urban,3351,5296,4288,3443,3942,7771,3669,845,6092,0,8514,5464,4009,861,0,0,0,0,2080,3432,2072,433,5377,3276,2052,29264,2890,1711,0,0,1835,1437,1717,2864,1971,93,1357,2833,2821,3484,2196,0,0,0,5222,5899,7277,13548,9168,0,9972,23882,19542,20880,28534,22597,15668,24383,25005,25989,21488,7968,28083,23229,11001,27912,10833,28627,18825,17827,19116,29508,1982,22104,21266,10274,10167,31380,15678,424,14021,33897,23718,23816,30008,3110,0,8095,33299,11128,25035,25035,5165,9353,2405,15688
Bidar,350,464,198,718,177,699,0,0,1433,0,985,78,57,43,0,0,0,0,521,69,69,0,788,245,242,693,317,138,0,0,606,0,700,51,55,0,315,380,532,230,133,0,0,0,520,308,354,313,472,0,768,418,590,0,1058,1390,0,1385,6335,3041,6824,1553,6971,5314,1261,5446,2071,1992,750,1093,3270,1986,1657,1687,1907,7701,4765,5500,1837,1700,3750,9528,1416,7159,3830,2949,2235,579,656,389,2164,5811,3158,1986,1641,1449
Chamarajanagar,143,198,158,349,34,368,0,0,406,0,543,28,342,0,0,0,0,0,236,516,654,0,283,253,172,387,69,0,0,0,45,61,52,45,148,0,256,251,237,173,76,0,0,0,194,106,91,339,158,0,258,70,389,20,71,498,18,384,1214,1704,3655,5358,5456,4841,3545,5132,5202,4068,4996,1610,3033,1754,4149,1425,2277,2535,2804,1550,1593,2528,3738,3226,2627,4095,3379,1185,784,590,3072,3919,5720,4478,1730,3861,1806,2542
Chikkaballapur,486,2167,0,711,299,1184,0,0,760,0,247,0,203,0,0,0,0,0,82,425,95,0,816,653,239,783,232,51,0,0,126,78,10,178,176,0,62,153,135,77,57,0,0,0,179,60,355,95,319,0,881,271,1084,11,1320,0,213,2760,4583,7845,6386,3017,7463,2315,3411,1900,3366,1929,2308,2446,510,2125,1638,1723,2966,3712,3943,1371,2264,5396,4082,3156,7239,6475,7320,4603,2486,771,3610,3787,8196,12723,6995,5340,3891,4869
Chikmagalur,286,98,552,517,394,850,0,0,609,0,491,209,113,0,0,0,0,0,369,1210,702,0,1003,768,587,392,353,11,0,0,18,110,418,513,478,0,538,302,311,67,119,0,0,0,345,-253,731,264,211,0,1470,445,2243,0,3269,0,0,3552,1865,6198,704,4336,2917,834,3976,2161,3390,1473,2105,1145,82,2721,2037,2335,3502,4245,4787,2117,5222,7498,5294,7081,6903,7540,3230,4906,1643,2120,2331,7226,4131,7466,2199,3647,2321,4382
Chitradurga,629,4050,150,1033,267,806,0,0,325,0,169,0,304,257,0,0,0,0,0,626,498,0,931,475,420,1401,295,0,0,0,166,79,0,95,45,0,368,314,137,14,123,0,0,0,361,315,231,353,414,0,1549,243,1967,0,2245,316,0,7847,7142,7540,8643,5574,6980,3380,3523,4464,2911,2943,1769,3252,0,1121,3109,1977,2081,5159,3129,3972,6817,5324,4889,10189,3478,6414,5398,1794,2076,0,2958,3262,6797,7016,2507,3391,1289,3505
Dakshina-Kannada,657,708,734,646,1189,2081,0,0,1573,0,919,1468,1504,0,0,0,0,0,1444,1768,1426,0,495,681,1663,9426,1040,198,0,0,225,277,694,608,936,483,402,631,817,1063,416,0,0,0,401,223,374,997,1874,347,1292,1471,3261,383,2537,1731,2519,1469,1163,4243,6202,2185,7061,2586,404,2541,5948,6614,1058,5650,4908,265,2057,4852,4367,1578,7384,3650,1242,5710,6955,8941,5785,7479,5826,11243,7885,3402,4570,10521,4398,12910,4212,8037,4828,2212
Davanagere,526,752,313,1324,329,2276,0,0,553,0,942,660,760,0,0,0,0,0,254,453,356,47,239,375,324,207,298,24,0,0,92,99,150,267,469,181,374,445,539,256,321,0,0,0,565,159,357,269,333,31,594,444,1551,205,2555,2863,354,2781,887,1779,7379,3103,4066,3992,1545,4836,2934,3494,6059,2579,1194,4851,1140,1940,3583,811,3079,5937,1686,6467,4083,7983,531,4160,4028,2064,1745,852,1563,4752,5767,9590,1288,3893,2503,3308
Dharwad,438,1714,174,478,286,520,0,744,699,40,995,375,684,308,0,0,0,0,311,946,1257,339,1064,857,330,3239,192,137,0,0,112,155,626,435,449,104,233,782,387,186,133,0,0,0,712,580,595,674,706,309,1617,764,820,1379,852,3774,353,1390,3941,420,8004,1843,4002,5465,1814,7197,3702,5017,3532,4968,2536,1869,503,3394,3328,5558,6177,8879,2904,6485,3391,13980,4716,8162,5803,4358,1965,1336,5432,1852,1602,3146,2449,3806,2630,3396
Gadag,176,646,30,437,42,493,0,39,164,0,83,76,377,138,0,0,0,0,81,829,331,129,907,918,730,1270,160,392,0,0,480,652,260,241,54,0,52,83,124,1424,28,0,0,0,220,162,153,232,137,0,1037,954,1557,14,1844,771,1058,2737,2819,4366,875,1150,4173,2955,2487,2959,3056,3923,2854,3740,2785,1850,4770,3484,2438,2587,6370,3156,2038,4962,3735,4106,1854,3543,2228,1982,933,1260,2023,1430,1304,3500,935,1470,1066,835
Hassan,379,713,73,958,74,1528,0,0,647,227,1470,402,331,179,0,0,0,0,1007,1442,1633,0,581,803,711,408,235,405,0,0,151,41,275,281,171,0,220,195,241,600,304,0,0,0,532,410,350,369,358,0,1105,1076,2865,489,3874,1342,0,4455,3443,2314,8489,6204,7896,2685,3801,4847,5062,3904,4927,2772,345,2249,3707,2837,2679,1086,1924,3040,4782,4826,4016,8942,4642,11433,8070,5217,4320,2250,4757,5018,6474,19915,4061,6060,6849,5245
Haveri,233,780,138,692,0,334,0,0,518,0,534,0,104,0,0,0,0,0,0,691,103,0,12,514,261,1524,0,325,0,0,67,10,92,60,331,143,148,375,376,58,241,0,0,0,311,140,230,259,179,0,267,146,576,55,286,683,0,2118,1561,4642,822,3533,3619,1486,2464,2979,3615,3055,3172,1737,956,2357,1675,810,3629,4000,5461,3044,3039,2489,2196,9646,1700,3232,3058,3448,1362,920,1775,2208,513,4108,948,621,2061,1119
Kalaburagi,417,1175,20,1166,23,1100,0,0,916,0,708,579,554,655,0,0,0,0,634,977,1721,296,442,755,738,1044,296,10,0,0,295,336,107,281,74,0,258,574,301,320,140,0,0,0,386,371,717,633,431,0,1043,679,1329,0,1672,201,338,1486,2968,4108,1456,1951,4505,2958,4408,3766,4303,5361,3072,3720,3574,1263,1640,3948,3498,5353,6321,8281,5874,3317,5433,10242,1645,7667,7180,1799,6989,2156,2026,373,3762,8353,0,2329,2617,2630
Kodagu,291,1254,59,654,90,125,0,0,891,0,512,232,108,25,0,0,0,0,0,44,36,0,0,309,299,340,193,0,0,0,72,12,101,95,85,0,186,200,123,114,139,0,0,0,302,224,132,171,182,0,635,172,1349,0,1343,53,0,1711,271,2475,237,1673,1870,583,1098,1942,2488,807,1831,1409,213,1776,1424,1641,826,801,1872,618,2050,2838,2860,2685,2129,2997,1438,2872,1287,437,1095,592,1235,3495,2092,1059,997,1821
Kolar,405,885,0,1235,412,1091,0,0,649,0,675,397,743,385,0,0,0,0,340,311,393,0,318,558,638,1472,555,120,0,0,281,177,142,160,250,0,219,191,258,206,248,0,0,0,527,287,221,360,305,0,881,510,1116,225,1701,450,0,1706,4206,3868,3293,4518,5214,1186,4124,5535,5108,6245,4963,4631,1934,3540,4250,3305,4539,3664,4082,2076,2861,2586,2445,7733,808,6030,2987,2315,1391,458,1096,1125,6050,5312,1344,2810,1459,2705
Koppal,262,1330,439,114,25,82,0,0,770,0,708,140,270,104,0,0,0,0,68,773,832,129,697,684,654,213,425,165,0,0,154,0,105,48,39,0,397,470,454,264,31,0,0,0,199,123,95,175,127,0,373,139,111,388,415,490,246,1863,4177,8920,12284,4296,7255,2719,2582,5033,2663,4835,4165,3756,864,2039,3585,2118,1271,2006,3493,5154,2293,9297,7307,5031,3162,3854,5513,3042,2706,367,2554,1464,1886,4196,968,2737,2833,1848
Mandya,520,1533,96,1473,164,1396,0,0,822,0,746,461,507,482,0,0,0,0,169,822,895,0,307,503,264,701,451,90,0,0,224,410,158,0,1243,60,432,463,325,29,607,0,0,0,891,311,316,272,338,0,1130,488,1129,763,1995,1947,7,3729,3557,8337,1645,5134,6492,4280,9039,4658,2131,1001,2579,6204,2004,1558,6235,5504,6140,8693,7737,6407,3353,7749,3758,14359,3910,14201,6937,3542,4303,1124,1935,4017,8158,13463,1750,3340,4677,4916
Mysuru,838,2154,0,2485,664,2084,0,0,1449,0,1123,1238,949,432,0,0,0,0,487,1811,1250,30,1145,895,939,5493,566,769,0,0,635,347,729,198,285,455,453,747,1206,557,445,0,0,0,1365,1254,338,2424,1449,0,1301,1847,2216,311,835,4806,0,2456,7494,1695,15044,3384,14114,11431,938,10759,3547,7039,2207,8501,6748,406,8750,2174,9289,2496,9370,14801,7675,17153,11133,41687,14907,19740,38860,19313,5589,4938,18969,19088,23685,40361,18367,6620,13539,18473
Raichur,478,1139,42,1307,69,1340,0,0,1140,73,469,144,163,197,0,0,0,0,182,1600,456,76,1072,612,333,1030,68,0,0,0,11,22,49,471,15,33,153,222,101,160,4,0,0,0,157,268,416,650,581,75,753,291,278,744,1340,2268,0,4108,333,4535,3096,4723,4892,3339,2125,6133,1200,7107,5409,3284,3108,2211,6419,2528,3605,1383,6951,4114,6286,5030,5002,3452,3245,4576,2071,1032,591,434,1250,321,807,3388,3464,1271,2386,187333
Ramanagar,488,888,604,1753,541,670,0,0,694,0,56,77,11,6,0,0,0,0,137,152,66,0,644,246,135,0,0,0,0,0,39,78,117,380,612,0,618,499,267,56,225,0,0,0,371,141,120,89,80,0,865,190,1308,0,1911,0,109,3390,984,8794,5361,2731,6646,2971,2700,4778,3076,3051,2891,2199,48,2001,2087,1070,3044,5860,7818,6738,3434,7250,8223,9554,1828,4304,2581,1647,1440,333,1858,3444,6231,8539,2642,4173,3035,3653
Shivamogga,555,999,357,372,749,1856,0,0,1516,0,1213,490,315,95,0,0,0,0,674,1909,974,0,379,383,369,951,292,425,0,0,330,201,1045,271,762,0,242,773,414,216,353,0,0,0,756,360,628,556,495,0,1165,342,548,571,701,1554,372,1331,1781,2660,3439,2763,3953,2720,3633,3083,3472,4290,4022,3881,1402,3036,2688,2801,2679,682,4033,5533,4841,4330,4772,11043,3824,9339,5612,6489,3557,538,3344,3153,5876,14644,3845,6390,3996,5897
Tumakuru,1175,3185,4310,620,671,2174,0,0,1431,0,478,339,924,454,0,0,0,0,0,0,402,0,1306,1717,1760,2340,981,0,0,0,0,0,0,0,0,0,167,116,48,4,0,0,0,0,351,531,661,685,478,0,4738,7686,5870,3447,9285,33,0,12452,10187,11600,1386,8783,7090,6801,4647,3200,4909,1523,2273,806,689,695,2399,3976,3445,710,2290,8348,3567,7580,10948,3895,4932,12850,9544,6856,3424,637,2345,4789,14653,7706,6830,8183,7747,3298
Udupi,511,48,235,829,720,1615,0,0,1946,0,2009,1014,1119,577,0,0,0,0,67,1133,1568,0,132,1212,134,1844,610,297,0,0,35,96,279,140,295,0,654,419,610,251,365,0,0,0,647,412,514,435,423,0,1264,818,2899,215,2919,2694,0,2498,2652,3611,4973,4387,6603,1666,2927,4579,4193,2869,2548,2114,740,2801,2646,3721,2363,2626,3767,4041,3808,5770,6177,5931,3471,6693,2829,1650,4611,2447,4799,956,5049,7464,2226,4532,2240,1626
Uttara-Kannada,474,1339,0,1583,0,1469,0,0,605,0,2144,0,809,0,0,0,0,0,0,1286,0,0,1192,0,789,1703,711,328,0,0,334,19,0,154,205,0,312,574,323,113,18,0,0,0,265,461,475,563,639,68,1959,607,2894,218,3233,1582,134,5474,696,6392,835,4482,5203,1379,5788,3503,5966,1760,3735,2461,419,3004,2314,3816,2436,6717,12750,2915,5316,5407,7847,8162,7641,8480,2999,5681,2321,2077,2389,1260,904,1954,1960,4153,4481,3077
Vijayapura,395,2844,0,151,201,565,0,0,405,0,352,475,274,0,0,0,0,0,802,676,526,186,1522,1145,618,1252,969,587,0,0,249,247,215,267,220,24,154,552,313,311,53,0,0,0,262,226,292,264,286,0,627,552,1645,0,1671,692,106,3515,1145,4235,1516,2357,4062,3885,3487,5270,5051,9133,3975,8633,3879,2042,8243,11126,8641,5541,11726,2188,1063,5716,4685,10585,5157,5702,5959,4197,3461,397,226,122,1864,7002,2489,5330,4368,2481
Yadgir,178,339,0,342,0,569,0,0,629,0,699,0,15,0,0,0,0,0,229,528,23,93,444,325,184,488,94,34,0,0,86,80,33,68,56,0,68,15,37,27,46,0,0,0,97,46,126,71,50,0,138,105,223,178,372,1294,1282,4886,6418,5039,5213,3777,1157,3497,4862,2706,2204,1925,1051,2281,2923,898,2098,3834,2598,1916,3076,1958,1672,2506,2492,3788,1083,1286,3288,3026,1530,376,911,768,754,4727,1077,983,1651,1299
Total,17308,38242,15223,34583,14108,42425,3669,2015,32277,435,30589,15809,17832,6064,0,0,140,270,11321,27825,22787,1758,25121,22623,18746,73996,14688,6749,0,0,8410,5593,10451,11156,10498,1952,9609,15412,14845,12442,8871,0,0,0,18939,15669,18348,28561,23559,1073,42173,48207,64658,31272,81979,62589,22825,122853,126118,177410,163978,129062,193177,124871,110581,167377,126017,145390,126370,119352,78230,93349,104334,122734,120241,130725,182364,165806,115704,161246,171461,323147,155627,260153,211940,127371,86338,42075,121231,104357,167549,298750,95754,132367,112764,309810
